	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	diagnostic_odds_ratio	accuracy	informedness	f1_score	markedness	threat_score	specificity	recall	false_omission_rate	miss_rate	fall_out	negative_predictive_value	prevalence	precision	false_discovery_rate	prevalence_threshold	balanced_accuracy	positive_likelyhood_ratio	matthews_correlation_coefficient	fowlkes_mallows_index	negative_likelyhood_ratio	auroc	auprc	time_required_for_training	time_required_for_evaluation	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')	('features_parameters', 'random_state')	('features_parameters', 'embedding_size')	('features_parameters', 'epochs')	('features_parameters', 'learning_rate')	('features_parameters', 'learning_rate_decay')	('features_parameters', 'avoid_false_negatives')	('features_parameters', 'use_scale_free_distribution')	('features_parameters', 'node_embedding_path')	('features_parameters', 'dtype')	('features_parameters', 'verbose')	('features_parameters', 'contextual_node_embedding_path')	('features_parameters', 'clipping_value')	('features_parameters', 'number_of_negative_samples')	('features_parameters', 'walk_length')	('features_parameters', 'iterations')	('features_parameters', 'window_size')	('features_parameters', 'max_neighbours')	('features_parameters', 'central_nodes_embedding_path')	('features_parameters', 'contextual_nodes_embedding_path')	('features_parameters', 'normalize_by_degree')	('features_parameters', 'stochastic_downsample_by_degree')	('features_parameters', 'normalize_learning_rate_by_degree')	('features_parameters', 'return_weight')	('features_parameters', 'explore_weight')
0	train	0.1288612562635842	1.0	True	False	0.5297631459578046	0.45712008205229904	-0.08575983589540193	0.18342342384332058	-0.15574888452040503	0.10097202961374106	0.7922958220878096	0.1219443420167885	0.5256711946313705	0.8780556579832115	0.20770417791219042	0.47432880536862954	0.5	0.36992231011096544	0.6300776898890346	0.566178209858492	0.45712008205229904	0.5871058697160247	-0.11557248278617988	0.21239099016627816	1.1082421912429286	0.506046826250889	0.46921277263100214	0.14243578910827637	0.22701454162597656	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.868701219558716	0.4427318572998047	7.152557373046875e-06	2.6226043701171875e-06	First-order LINE	42	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.5290335506593787	0.45695986018926504	-0.08608027962146991	0.18359275369914224	-0.15607700533843238	0.1010746648765203	0.7918014576012791	0.122118262777251	0.5257774288824121	0.877881737222749	0.20819854239872093	0.4742225711175879	0.5	0.36970042354397964	0.6302995764560204	0.5662951331484113	0.45695986018926504	0.5865471552792256	-0.115910104227431	0.2124786423883697	1.108714474815752	0.5043749896069581	0.4685853732081152	0.14243578910827637	0.22701454162597656	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.868701219558716	0.4427318572998047	7.152557373046875e-06	2.6226043701171875e-06	First-order LINE	42	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.1288612562635842	1.0	True	False	0.5297631459578046	0.45712008205229904	-0.08575983589540193	0.18342342384332058	-0.15574888452040503	0.10097202961374106	0.7922958220878096	0.1219443420167885	0.5256711946313705	0.8780556579832115	0.20770417791219042	0.47432880536862954	0.5	0.36992231011096544	0.6300776898890346	0.566178209858492	0.45712008205229904	0.5871058697160247	-0.11557248278617988	0.21239099016627816	1.1082421912429286	0.506046826250889	0.46921277263100214	0.07755494117736816	0.1596813201904297	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.868701219558716	0.4427318572998047	7.152557373046875e-06	2.6226043701171875e-06	First-order LINE	42	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.5290335506593787	0.45695986018926504	-0.08608027962146991	0.18359275369914224	-0.15607700533843238	0.1010746648765203	0.7918014576012791	0.122118262777251	0.5257774288824121	0.877881737222749	0.20819854239872093	0.4742225711175879	0.5	0.36970042354397964	0.6302995764560204	0.5662951331484113	0.45695986018926504	0.5865471552792256	-0.115910104227431	0.2124786423883697	1.108714474815752	0.5043749896069581	0.4685853732081152	0.07755494117736816	0.1596813201904297	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.868701219558716	0.4427318572998047	7.152557373046875e-06	2.6226043701171875e-06	First-order LINE	42	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.1288612562635842	1.0	True	False	0.5257417030806966	0.45626950213961903	-0.08746099572076182	0.18419254131381296	-0.1575606707279038	0.10143836585354925	0.7897758435304799	0.12276316074875822	0.5262328525223986	0.8772368392512417	0.21022415646952008	0.4737671474776014	0.5	0.3686721817944948	0.6313278182055052	0.5668372490530136	0.4562695021396191	0.5839631506218333	-0.11739000446500358	0.21274247887347975	1.110741543233066	0.505699260554502	0.4688683063595752	0.10005712509155273	0.20465445518493652	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.209508180618286	0.2889244556427002	5.245208740234375e-06	1.6689300537109375e-06	First-order LINE	84	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.5284199861313943	0.4565694312752152	-0.08686113744956958	0.1848285719265831	-0.15636574639823309	0.10182430654649302	0.7899236804432298	0.12321518210720063	0.5260576872129373	0.8767848178927994	0.2100763195567702	0.47394231278706267	0.5	0.3696919408147043	0.6303080591852956	0.5662996035579241	0.4565694312752152	0.5865258034183307	-0.1165422952850228	0.2134283481898509	1.1099614299457783	0.5035870066377022	0.46812860035788595	0.10005712509155273	0.20465445518493652	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.209508180618286	0.2889244556427002	5.245208740234375e-06	1.6689300537109375e-06	First-order LINE	84	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.1288612562635842	1.0	True	False	0.5257417030806966	0.45626950213961903	-0.08746099572076182	0.18419254131381296	-0.1575606707279038	0.10143836585354925	0.7897758435304799	0.12276316074875822	0.5262328525223986	0.8772368392512417	0.21022415646952008	0.4737671474776014	0.5	0.3686721817944948	0.6313278182055052	0.5668372490530136	0.4562695021396191	0.5839631506218333	-0.11739000446500358	0.21274247887347975	1.110741543233066	0.505699260554502	0.4688683063595751	0.09743142127990723	0.16662836074829102	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.209508180618286	0.2889244556427002	5.245208740234375e-06	1.6689300537109375e-06	First-order LINE	84	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.5284199861313943	0.4565694312752152	-0.08686113744956958	0.1848285719265831	-0.15636574639823309	0.10182430654649302	0.7899236804432298	0.12321518210720063	0.5260576872129373	0.8767848178927994	0.2100763195567702	0.47394231278706267	0.5	0.3696919408147043	0.6303080591852956	0.5662996035579241	0.4565694312752152	0.5865258034183307	-0.1165422952850228	0.2134283481898509	1.1099614299457783	0.5035870066377022	0.46812860035788595	0.09743142127990723	0.16662836074829102	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	6.209508180618286	0.2889244556427002	5.245208740234375e-06	1.6689300537109375e-06	First-order LINE	84	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.1288612562635842	1.0	True	False	0.5534952002656446	0.4601753527040385	-0.07964929459192305	0.18677295727836282	-0.1453737486489869	0.10300583042155512	0.7963697745111102	0.12398093089696673	0.5238130309515208	0.8760190691030333	0.20363022548888976	0.47618696904847924	0.5	0.3784392823025339	0.6215607176974661	0.5617060777588736	0.4601753527040385	0.6088532809866737	-0.10760537408547646	0.21660852824357615	1.1000154666101178	0.5042793230762399	0.4689417282466513	0.08997821807861328	0.19378972053527832	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	5.833445310592651	0.27275800704956055	5.4836273193359375e-06	2.6226043701171875e-06	First-order LINE	126	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.1288612562635842	1.0	True	False	0.556257911518291	0.46070495658802313	-0.07859008682395374	0.18628772803380292	-0.14418248612442386	0.1027107391360667	0.797946065034302	0.12346384814174428	0.523466981623071	0.8765361518582557	0.202053934965698	0.47653301837692896	0.5	0.3792844954986471	0.6207155045013528	0.5612639071244407	0.46070495658802313	0.6110440173446972	-0.10644864537894308	0.2163976047805591	1.098490474817462	0.502732966406814	0.468608742025951	0.08997821807861328	0.19378972053527832	Edge Prediction	Perceptron	Ensmallen	kg-monarch-2022-12-11	417966	10017627	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""biolink:has_phenotype""]}"	False	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		8.320808410644531e-05	1.0251998901367188e-05	7.3909759521484375e-06	5.833445310592651	0.27275800704956055	5.4836273193359375e-06	2.6226043701171875e-06	First-order LINE	126	['Degree']		100	10	1	4096	False	0.01	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
