	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	false_discovery_rate	negative_predictive_value	positive_likelyhood_ratio	negative_likelyhood_ratio	false_omission_rate	diagnostic_odds_ratio	matthews_correlation_coefficient	threat_score	markedness	informedness	accuracy	precision	fall_out	prevalence_threshold	prevalence	recall	miss_rate	f1_score	specificity	fowlkes_mallows_index	balanced_accuracy	auroc	auprc	time_required_for_training	time_required_for_evaluation	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')
0	train	0.007185042262073829	1.0	True	False	0.02693409742120345	0.9292771710868435	36.127659574468076	0.07610520425293793	0.07072282891315652	474.70682102628246	0.9012799618246711	0.9027113237639554	0.9023430736656399	0.9002181025081788	0.9501090512540894	0.9730659025787965	0.02562704471101418	0.1426405557369942	0.5	0.925845147219193	0.07415485278080702	0.9488683989941324	0.9743729552889858	0.9491619165490379	0.9501090512540894	0.9881348786819664	0.9614915123157205	3.6211771965026855	0.005705118179321289	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.007185042262073829	1.0	True	False	0.014234875444839812	0.9136363636363636	69.25000000000017	0.09452736318407956	0.08636363636363636	732.5921052631601	0.8965045893967564	0.8949919224555735	0.8994014881915238	0.8936170212765959	0.9468085106382979	0.9857651245551602	0.013093289689034338	0.10727704745123239	0.5	0.9067103109656302	0.09328968903436985	0.9445865302642796	0.9869067103109657	0.9454117635318922	0.946808510638298	0.9858533272974197	0.9705494207346697	3.6211771965026855	0.005705118179321289	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['Degree']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.007185042262073829	1.0	True	False	0.06837606837606836	0.5294117647058824	13.625000000000002	0.8888888888888888	0.47058823529411764	15.328125000000004	0.22534259711249385	0.11783783783783784	0.4610356963298141	0.11014176663031616	0.5550708833151581	0.9316239316239316	0.008724100327153761	0.2131648130739287	0.5	0.11886586695747	0.88113413304253	0.21083172147001933	0.9912758996728462	0.3327736262248037	0.5550708833151581	0.9872970005553646	0.9775731724043504	3.6237759590148926	0.00536656379699707	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.007185042262073829	1.0	True	False	0.05555555555555558	0.5353356890459364	17.0000000000001	0.8679867986798679	0.46466431095406363	19.585551330798594	0.25063719346563745	0.137987012987013	0.47978013349038084	0.13093289689034382	0.5654664484451718	0.9444444444444444	0.008183306055646433	0.19519410160110331	0.5	0.13911620294599017	0.8608837970540099	0.24251069900142652	0.9918166939443536	0.3624741714999101	0.5654664484451719	0.9877290589064103	0.9784657657528006	3.6237759590148926	0.00536656379699707	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['AdamicAdar']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.007185042262073829	1.0	True	False	0.06837606837606836	0.5294117647058824	13.625000000000002	0.8888888888888888	0.47058823529411764	15.328125000000004	0.22534259711249385	0.11783783783783784	0.4610356963298141	0.11014176663031616	0.5550708833151581	0.9316239316239316	0.008724100327153761	0.2131648130739287	0.5	0.11886586695747	0.88113413304253	0.21083172147001933	0.9912758996728462	0.3327736262248037	0.5550708833151581	0.9864529533624533	0.9574444436034102	3.594111442565918	0.003755331039428711	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.007185042262073829	1.0	True	False	0.05555555555555558	0.5353356890459364	17.0000000000001	0.8679867986798679	0.46466431095406363	19.585551330798594	0.25063719346563745	0.137987012987013	0.47978013349038084	0.13093289689034382	0.5654664484451718	0.9444444444444444	0.008183306055646433	0.19519410160110331	0.5	0.13911620294599017	0.8608837970540099	0.24251069900142652	0.9918166939443536	0.3624741714999101	0.5654664484451719	0.9867446513858047	0.9575950865146877	3.594111442565918	0.003755331039428711	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['JaccardCoefficient']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.007185042262073829	1.0	True	False	0.06837606837606836	0.5294117647058824	13.625000000000002	0.8888888888888888	0.47058823529411764	15.328125000000004	0.22534259711249385	0.11783783783783784	0.4610356963298141	0.11014176663031616	0.5550708833151581	0.9316239316239316	0.008724100327153761	0.2131648130739287	0.5	0.11886586695747	0.88113413304253	0.21083172147001933	0.9912758996728462	0.3327736262248037	0.5550708833151581	0.9873060683395787	0.9777011611678192	3.6506454944610596	0.005534648895263672	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.007185042262073829	1.0	True	False	0.05555555555555558	0.5353356890459364	17.0000000000001	0.8679867986798679	0.46466431095406363	19.585551330798594	0.25063719346563745	0.137987012987013	0.47978013349038084	0.13093289689034382	0.5654664484451718	0.9444444444444444	0.008183306055646433	0.19519410160110331	0.5	0.13911620294599017	0.8608837970540099	0.24251069900142652	0.9918166939443536	0.3624741714999101	0.5654664484451719	0.9877243712515503	0.9784287439862054	3.6506454944610596	0.005534648895263672	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['ResourceAllocationIndex']		100	10	1000	16	False	0.001	0.9	0.999	False	False
0	train	0.007185042262073829	1.0	True	False	0.006525285481239762	0.7477477477477478	152.2499999999981	0.3373493975903615	0.25225225225225223	451.3124999999943	0.6993060820341422	0.6612377850162866	0.741222462266508	0.6597600872410032	0.8298800436205016	0.9934747145187602	0.004362050163576936	0.0749683482925827	0.5	0.6641221374045801	0.33587786259541985	0.796078431372549	0.9956379498364231	0.8122736920912828	0.8298800436205016	0.9960071275756966	0.9911554327744647	3.622251510620117	0.005457878112792969	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
1	test	0.007185042262073829	1.0	True	False	0.0	0.5411868910540301	inf	0.8477905073649754	0.4588131089459699	inf	0.28700833107779333	0.15220949263502456	0.5411868910540301	0.1522094926350246	0.5761047463175123	1.0	0.0	0.0	0.5	0.15220949263502456	0.8477905073649754	0.26420454545454547	1.0	0.3901403499191343	0.5761047463175123	0.9608801808631178	0.9566344631284296	3.622251510620117	0.005457878112792969	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	True	72	3.7.3	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-centos-7.7.1908-Core	10		1.430511474609375e-05	5.0067901611328125e-06	2.384185791015625e-06	0.30678343772888184	1.1205673217773438e-05	4.0531158447265625e-06	2.6226043701171875e-06		42	['PreferentialAttachment']		100	10	1000	16	False	0.001	0.9	0.999	False	False
