	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	validation_sample_only_edges_with_heterogeneous_node_types	balanced_accuracy	negative_predictive_value	prevalence	miss_rate	markedness	false_omission_rate	f1_score	matthews_correlation_coefficient	fall_out	prevalence_threshold	false_discovery_rate	specificity	informedness	diagnostic_odds_ratio	accuracy	positive_likelyhood_ratio	fowlkes_mallows_index	recall	negative_likelyhood_ratio	threat_score	precision	auroc	auprc	time_required_for_training	time_required_for_evaluation	time	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	number_of_threads	python_version	platform	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'sample_only_edges_with_heterogeneous_node_types')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')	('features_parameters', 'random_state')	('features_parameters', 'embedding_size')	('features_parameters', 'epochs')	('features_parameters', 'learning_rate')	('features_parameters', 'learning_rate_decay')	('features_parameters', 'avoid_false_negatives')	('features_parameters', 'use_scale_free_distribution')	('features_parameters', 'node_embedding_path')	('features_parameters', 'dtype')	('features_parameters', 'verbose')	('features_parameters', 'contextual_node_embedding_path')	('features_parameters', 'clipping_value')	('features_parameters', 'number_of_negative_samples')	('features_parameters', 'walk_length')	('features_parameters', 'iterations')	('features_parameters', 'window_size')	('features_parameters', 'max_neighbours')	('features_parameters', 'central_nodes_embedding_path')	('features_parameters', 'contextual_nodes_embedding_path')	('features_parameters', 'normalize_by_degree')	('features_parameters', 'stochastic_downsample_by_degree')	('features_parameters', 'normalize_learning_rate_by_degree')	('features_parameters', 'return_weight')	('features_parameters', 'explore_weight')
0	train	0.007185042262073829	1.0	True	False	0.6761177753544165	0.6661522633744856	0.5	0.3538713195201745	0.3535072517735576	0.3338477366255144	0.6661045531197302	0.352870828360783	0.29389312977099236	0.4027809155784553	0.31264501160092806	0.7061068702290076	0.35223555070883306	4.386868909210974	0.6761177753544165	2.1985157699443416	0.6664231176028621	0.6461286804798255	0.5011583011583012	0.4993678887484197	0.6873549883990719	0.7363989182876693	0.7067480913426405	4.209895133972168	0.006561279296875	1689629166.993027	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.6854629516601562	2.478212594985962	1.811981201171875e-05	4.291534423828125e-06	5.0067901611328125e-06	First-order LINE	42		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.5916530278232406	0.575880758807588	0.5	0.5122749590834696	0.19158323814643108	0.4241192411924119	0.5442922374429223	0.18739895333913353	0.30441898527004907	0.44135284558523485	0.3842975206611571	0.6955810147299509	0.18330605564648117	2.175444020749597	0.5916530278232406	1.6021505376344087	0.5479904350697613	0.4877250409165303	0.736470588235294	0.3739021329987453	0.6157024793388429	0.6457659761974279	0.6374711187926434	4.209895133972168	0.006561279296875	1689629166.993027	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.6854629516601562	2.478212594985962	1.811981201171875e-05	4.291534423828125e-06	5.0067901611328125e-06	First-order LINE	42		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.007185042262073829	1.0	True	False	0.7718102508178843	0.7534316217590239	0.5	0.26444929116684845	0.5464945259330392	0.2465683782409761	0.7632248939179632	0.5450556194820124	0.19193020719738274	0.3381064758187476	0.20693709582598474	0.8080697928026173	0.5436205016357687	11.710508434864105	0.7718102508178845	3.832386363636364	0.7637656586378276	0.7355507088331515	0.32726045883940624	0.6171088746569076	0.7930629041740153	0.8238694405563636	0.8376136059503012	4.097153425216675	0.004285335540771484	1689629171.3494449	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.6854629516601562	2.478212594985962	1.811981201171875e-05	4.291534423828125e-06	5.0067901611328125e-06	First-order LINE	42		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.6988543371522095	0.6605019815059445	0.5	0.4206219312602292	0.42179230408658963	0.3394980184940555	0.6579925650557621	0.4095735075539968	0.1816693944353519	0.3589594339102119	0.2387096774193549	0.8183306055646481	0.3977086743044189	6.2046482279945305	0.6988543371522095	3.1891891891891886	0.6641347128761237	0.5793780687397708	0.514	0.4903047091412742	0.7612903225806451	0.7314295204395145	0.7489872899637411	4.097153425216675	0.004285335540771484	1689629171.3494449	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.6854629516601562	2.478212594985962	1.811981201171875e-05	4.291534423828125e-06	5.0067901611328125e-06	First-order LINE	42		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.007185042262073829	1.0	True	False	0.6810250817884406	0.661951219512195	0.5	0.37786259541984735	0.3671428140733817	0.3380487804878049	0.6610660486674391	0.36458759700700777	0.2600872410032715	0.39267734681539485	0.29480840543881337	0.7399127589967285	0.36205016357688113	4.683967558181395	0.6810250817884406	2.3920335429769395	0.662363999906423	0.6221374045801527	0.5106853352984525	0.4937256598874946	0.7051915945611866	0.7448295791715672	0.7277362223375331	4.2077906131744385	0.007512569427490234	1689629178.4178026	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.512497663497925	2.321809768676758	5.7220458984375e-06	1.9073486328125e-06	2.1457672119140625e-06	First-order LINE	84		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.6260229132569558	0.6018518518518519	0.5	0.49263502454991814	0.2670879033539979	0.39814814814814814	0.5756731662024142	0.25945787972756984	0.25531914893617025	0.4149939747951647	0.33476394849785407	0.7446808510638298	0.2520458265139116	3.003875968992248	0.6260229132569558	1.987179487179487	0.5809625400478895	0.5073649754500819	0.6615384615384615	0.4041720990873533	0.6652360515021459	0.6791769013797777	0.6675249174920026	4.2077906131744385	0.007512569427490234	1689629178.4178026	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.512497663497925	2.321809768676758	5.7220458984375e-06	1.9073486328125e-06	2.1457672119140625e-06	First-order LINE	84		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.007185042262073829	1.0	True	False	0.7783533260632497	0.7561465127947817	0.5	0.26499454743729556	0.5609226321977667	0.24385348720521827	0.76831005984611	0.5588106662124502	0.17829880043620505	0.3299948036482994	0.1952238805970149	0.821701199563795	0.5567066521264994	12.782597752356498	0.7783533260632497	4.122324159021406	0.7691000168075984	0.7350054525627044	0.3224950232249503	0.6237852845904673	0.8047761194029851	0.8330082805221617	0.8460472932383872	4.30601167678833	0.00659489631652832	1689629182.979619	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.512497663497925	2.321809768676758	5.7220458984375e-06	1.9073486328125e-06	2.1457672119140625e-06	First-order LINE	84		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.7135842880523731	0.6728476821192053	0.5	0.4042553191489362	0.45229093693719236	0.3271523178807947	0.6753246753246753	0.43955031056358274	0.16857610474631757	0.3472356716376435	0.22055674518201285	0.8314238952536824	0.4271685761047461	7.268267756770563	0.7135842880523732	3.5339805825242707	0.6814317083046959	0.5957446808510638	0.48622047244094496	0.5098039215686274	0.7794432548179872	0.7463791214531195	0.7808889866075505	4.30601167678833	0.00659489631652832	1689629182.979619	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.512497663497925	2.321809768676758	5.7220458984375e-06	1.9073486328125e-06	2.1457672119140625e-06	First-order LINE	84		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	False	42	100	100	0.05	0.9	False	True	None	f32	False														
0	train	0.007185042262073829	1.0	True	False	0.6900218102508179	0.6731246895181322	0.5	0.3587786259541985	0.38369870764502045	0.32687531048186785	0.6741186586414445	0.38186679095623416	0.2611777535441657	0.3895779176557988	0.28942598187311175	0.7388222464558343	0.38004362050163576	5.055745569226669	0.6900218102508179	2.455114822546973	0.6750075912644017	0.6412213740458015	0.4856088560885609	0.5084306095979247	0.7105740181268883	0.7497562103916212	0.7232063585260049	4.222603797912598	0.006290435791015625	1689629190.167086	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.5928077697753906	2.39507794380188	6.580352783203125e-05	6.67572021484375e-06	1.4781951904296875e-05	First-order LINE	126		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
1	test	0.007185042262073829	1.0	True	False	0.6096563011456628	0.5917808219178082	0.5	0.48772504091653024	0.22795968370642616	0.40821917808219177	0.5675430643699003	0.22359434574953785	0.292962356792144	0.43059874896660566	0.36382113821138207	0.707037643207856	0.21931260229132565	2.5348880806868888	0.6096563011456628	1.7486033519553075	0.5708752056207491	0.5122749590834698	0.6898148148148148	0.3962025316455696	0.6361788617886179	0.6516590280214615	0.6335951338152759	4.222603797912598	0.006290435791015625	1689629190.167086	Edge Prediction	Perceptron	Ensmallen	(SLDB | HomoSapiens)	16715	510505	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""SLI""]}"	False	72	3.8.17	Linux-3.10.0-1062.1.2.el7.x86_64-x86_64-with-glibc2.17	10		4.00543212890625e-05	3.337860107421875e-06	3.337860107421875e-06	2.5928077697753906	2.39507794380188	6.580352783203125e-05	6.67572021484375e-06	1.4781951904296875e-05	First-order LINE	126		['Hadamard']	100	10	1000	32	False	0.001	0.9	0.999	False	True	42	100	100	0.05	0.9	False	True	None	f32	False														
